Service Description,Service Classification,cleaned_text,encoded_label
"The ZeroBounce API returns validation results in a JSON format that includes; address, status, substatus, account and more. The E-mail Validator checks the validity of each email for proper formatting and asks the domain e-mail server; for the validation results and if the user exists with some features that includes; Spam Trap Detection, Disposable Email Detection, Summary reports, Catch-All Domain Detection and more. ZeroBounce provides data validation services to users seeking an email tool that has an impact on the process of your email marketing campaigns.",Email,zerobounce api return validation result json format that includes address status substatus account more mail validator check validity of each email for proper formatting asks domain mail server for validation result if user exists with some feature that includes spam trap detection disposable email detection summary report catch all domain detection more zerobounce provides data validation service user seeking email tool that ha impact process of your email marketing campaign,1
"Quantopian is a algorithmic trading platform that was developed for investors and statisticians to build, test, and execute different trading strategies. The site provides 11 years of US equity data for uses to back test trading strategies. The Quantopian API allows users to check the trade log, view orders, get open orders, get orders, cancel orders, check portfolio positions, and call for snapshots of portfolios. The service uses SOAP calls.",Financial,quantopian is algorithmic trading platform that wa developed for investor statistician build test execute different trading strategy site provides year of u equity data for us back test trading strategy quantopian api allows user check trade log view order get open order get order cancel order check portfolio position call for snapshot of portfolio service us soap call,3
"Using a single, uniform feed, the AdStage Universal Data API provides developers tools to import cross channel ad performance data into BI systems, Marketing Automation systems, and CRM. AdStage is a cross-channel online advertising platform that allows users to create and manage advertising campaigns. The service offers cross-network ad tools and a flexible platform. An account is required with service.",Advertising,using single uniform feed adstage universal data api provides developer tool import cross channel ad performance data into bi system marketing automation system crm adstage is cross channel online advertising platform that allows user create manage advertising campaign service offer cross network ad tool flexible platform account is required with service,0
"Fiesta is a group mailing list service and management platform. Users can set up private mailing lists for group emails. Mailing lists are free and ad-free. The Fiesta API allows developers to integrate the functionality of Fiesta with other applications. The main API method is list management, which includes creating groups and managing users.",Email,fiesta is group mailing list service management platform user can set up private mailing list for group email mailing list are free ad free fiesta api allows developer integrate functionality of fiesta with other application main api method is list management which includes creating group managing user,1
"The Marketo SOAP API allows for the creation, retrieval and removal of entities and data stored within Marketo. The Marketo platform can be extended using a number of integration points. It is a marketing automation platform that enables marketers to manage personalized multi-channel programs and campaigns to prospects and customers.",Enterprise,marketo soap api allows for creation retrieval removal of entity data stored within marketo marketo platform can be extended using number of integration point it is marketing automation platform that enables marketer manage personalized multi channel program campaign prospect customer,2
"SublimeVideo is an HTML5 video player service. SublimeVideo is compatible with a variety of browsers and mobile platforms. Users can manage their video content and integrate video content into other sites. The SublimeVideo API allows developers to access and integrate SublimeVideo's functionality into other applications. Some example API methods include playing video, stopping video, loading video, resizing video, and restoring video.",Video,sublimevideo is html video player service sublimevideo is compatible with variety of browser mobile platform user can manage their video content integrate video content into other site sublimevideo api allows developer access integrate sublimevideo functionality into other application some example api method include playing video stopping video loading video resizing video restoring video,18
"The Daily Deals API offers a retail platform to integrate in existing applications. It delivers product deals and coupons from stores such as Amazon and Ebay. This RESTful API responds in XML or JSON format, and it uses the API key authentication type. The Daily Deals API is still in beta development.",eCommerce,daily deal api offer retail platform integrate existing application it delivers product deal coupon from store such a amazon ebay this restful api responds xml json format it us api key authentication type daily deal api is still beta development,19
Taginfo is a web service for OpenStreetMap (OSM) that collects and shares metadata describing the tags OSM uses to add meaning to geographic objects. The Taginfo API provides developer access to the tag database. All calls to the RESTful API use the HTTP GET request and are read-only.,Mapping,taginfo is web service for openstreetmap osm that collect share metadata describing tag osm us add meaning geographic object taginfo api provides developer access tag database all call restful api use http get request are read only,5
"mBLAST is a marketing management tool, a software-as-a-service which includes a database of marketing resources. mBLAST helps users measure their influence, target other influencers in their field, assists with media outreach, and more. The mBLAST API uses a RESTful protocol and returns responses in XML.",Advertising,mblast is marketing management tool software a service which includes database of marketing resource mblast help user measure their influence target other influencers their field assist with medium outreach more mblast api us restful protocol return response xml,0
"openparliament.ca is an independent, non-governmental website aimed at making Canadian government more easily accessible. The site provides information about what is being discussed/debated in the House of Commons, recent bills and votes, and other news in and about Parliament. A RESTful API is available for accessing Hansards of the House. Responses are returned in JSON or XML format.",Government,openparliament ca is independent non governmental website aimed making canadian government more easily accessible site provides information about what is being discussed debated house of common recent bill vote other news about parliament restful api is available for accessing hansard of house response are returned json xml format,4
"The easiest and most flexible way for developers, marketers, and publishers to harness social data in applications. Understand which users and behavior patterns drive more traffic, conversions, and revenue using awe.sm's powerful quantitative performance analytics.",Social,easiest most flexible way for developer marketer publisher harness social data application understand which user behavior pattern drive more traffic conversion revenue using awe sm powerful quantitative performance analytics,12
The 3NGNetworks API allows developers to intergate their existng applications with the 3NG VoIP Platform. 3NG is a provider of private label VoIP solutions. The API exposes the entire VoIP platform functionality. It uses SOAP protocol and responses are formatted in XML. Full API documentation is not publicly available.,Telephony,ngnetworks api allows developer intergate their existng application with ng voip platform ng is provider of private label voip solution api expose entire voip platform functionality it us soap protocol response are formatted xml full api documentation is not publicly available,14
"CiteULike is a free browser-based service to help you to store, organise and share the scholarly papers you are reading. When you see a paper on the web that interests you, you can click one button and have it added to your personal library, and CiteULike automatically extracts the citation details. Citation library is stored on the server, you can access it from any computer with an Internet connection.",Reference,citeulike is free browser based service help you store organise share scholarly paper you are reading when you see paper web that interest you you can click one button have it added your personal library citeulike automatically extract citation detail citation library is stored server you can access it from any computer with internet connection,8
"Giphy is an animated search engine for discovering and sharing GIF images. Giphy exposes its search capabilities through a RESTlike API. The API is comprised of nine JSON endpoints, allowing developers to search for GIFs using a variety of filters and search parameters.",Search,giphy is animated search engine for discovering sharing gif image giphy expose it search capability through restlike api api is comprised of nine json endpoint allowing developer search for gifs using variety of filter search parameter,10
"Confident Technologies provides image based authentication solutions for mobile devices, applications and web sites. This API gives developers the means to create image-based authentication services. It generates a single use password by asking users to identify which pictures fit into their previously chosen, secret authentication categories. Developers can customize and integrate their approach using the API. Client libraries are available for Classic ASP, ASP.NET, PHP, Java and Python. The API uses RESTful calls and responses are formatted in XML and Text.",Security,confident technology provides image based authentication solution for mobile device application web site this api give developer mean create image based authentication service it generates single use password by asking user identify which picture fit into their previously chosen secret authentication category developer can customize integrate their approach using api client library are available for classic asp asp net php java python api us restful call response are formatted xml text,11
"The Swift Email Verifier API provides real-time email validation services. Email addresses can be verified without sending them to Swift Email Verifier's servers, ensuring total privacy. In addition to validations, Swift Email Verifier also detects emails with greylisting enabled, catch-all emails, role/function accounts, disposable email addresses, temporary unavailability of email accounts, and malicious/bogus email domains and emails.",Email,swift email verifier api provides real time email validation service email address can be verified without sending them swift email verifier server ensuring total privacy addition validation swift email verifier also detects email with greylisting enabled catch all email role function account disposable email address temporary unavailability of email account malicious bogus email domain email,1
